family,C,m,n_pos_segments
rail:0,0.008319969446779032,1.4592147845548764,681
rail:70,0.0012954541368116355,1.760548695029959,540
rail:70GF,0.39080791409412435,0.4744691695804504,91
rail:70NGF,0.006211679582119734,1.4624229964261486,20
rail:other,0.004021526214623675,1.5889104296252659,2051
weld:0,0.007164658610737961,1.685106133687199,150
weld:70,0.016497338395788468,1.0832466017060673,426
weld:70GF,0.01837552974684573,1.2219106248162697,123
weld:70NGF,0.015137384406199007,1.3873647164895213,14
weld:other,0.004021526214623675,1.5889104296252659,2051
__GLOBAL__,0.004021526214623675,1.5889104296252659,2051
